Ticker,Date,StockPrice,NetEPS,PE
SNY,2018-01-01,28.94,,16.63
SNY,2019-01-01,35.1,,18.865000000000002
SNY,2020-01-01,37.834999999999994,,13.525
SNY,2021-01-01,42.11,,15.373333333333335
SNY,2022-01-01,41.08,,14.73
SNY,2023-01-01,48.144999999999996,,17.252499999999998
SNY,2024-01-01,48.1175,,23.5975
SNY,2025-01-01,50.269999999999996,,17.955
MSTR,2010-01-01,8.307500000000001,,19.6325
MSTR,2011-01-01,12.989999999999998,,54.5925
MSTR,2012-01-01,12.435,,70.09
MSTR,2013-01-01,10.4025,,15.94
MSTR,2014-01-01,13.73,,129.065
MSTR,2015-01-01,17.8775,,33.807500000000005
MSTR,2016-01-01,17.987499999999997,,21.615
MSTR,2017-01-01,15.9625,,39.2025
MSTR,2018-01-01,13.129999999999999,,101.07499999999999
MSTR,2019-01-01,14.465,,73.92
MSTR,2020-01-01,19.39,,332.39000000000004
MSTR,2021-01-01,61.655,,0.0
MSTR,2022-01-01,25.1125,,0.0
MSTR,2023-01-01,39.865,,78.745
MSTR,2024-01-01,191.60750000000002,,0.0
MSTR,2025-01-01,364.83666666666664,,23.656666666666666
WELL,2010-01-01,23.905,,25.33
WELL,2011-01-01,28.6125,,33.2875
WELL,2012-01-01,34.0075,,39.9475
WELL,2013-01-01,38.46,,70.27250000000001
WELL,2014-01-01,42.055,,77.2375
WELL,2015-01-01,47.07,,21.1025
WELL,2016-01-01,50.995000000000005,,22.995
WELL,2017-01-01,52.2,,23.2075
WELL,2018-01-01,49.615,,30.725
WELL,2019-01-01,68.72,,33.8825
WELL,2020-01-01,47.167500000000004,,17.6175
WELL,2021-01-01,72.74,,65.465
WELL,2022-01-01,71.415,,131.385
WELL,2023-01-01,77.77250000000001,,232.7825
WELL,2024-01-01,111.1,,93.69
WELL,2025-01-01,158.63666666666666,,110.88666666666667
PANW,2013-01-01,8.07,,0.0
PANW,2014-01-01,12.9025,,0.0
PANW,2015-01-01,25.8725,,0.0
PANW,2016-01-01,24.3825,,0.0
PANW,2017-01-01,22.2875,,0.0
PANW,2018-01-01,30.4875,,0.0
PANW,2019-01-01,38.2325,,0.0
PANW,2020-01-01,37.85,,0.0
PANW,2021-01-01,67.18,,0.0
PANW,2022-01-01,87.19,,0.0
PANW,2023-01-01,104.26,,696.8475
PANW,2024-01-01,164.3125,,46.72
PANW,2025-01-01,179.8166666666667,,102.25999999999999
ADI,2010-01-01,21.182499999999997,,12.727500000000001
ADI,2011-01-01,27.1275,,9.6425
ADI,2012-01-01,29.1075,,12.8225
ADI,2013-01-01,35.78,,17.055
ADI,2014-01-01,39.285,,18.0575
ADI,2015-01-01,47.2225,,21.8525
ADI,2016-01-01,49.7975,,22.1525
ADI,2017-01-01,68.8875,,29.22
ADI,2018-01-01,78.5425,,26.549999999999997
ADI,2019-01-01,98.07249999999999,,24.48
ADI,2020-01-01,103.2025,,33.1275
ADI,2021-01-01,148.9925,,37.0
ADI,2022-01-01,149.5225,,40.0825
ADI,2023-01-01,170.4725,,24.675
ADI,2024-01-01,207.8525,,53.657500000000006
ADI,2025-01-01,209.06000000000003,,60.18333333333333
NKE,2010-01-01,15.295,,15.7675
NKE,2011-01-01,18.6725,,16.68
NKE,2012-01-01,21.875,,18.84
NKE,2013-01-01,27.9275,,19.5625
NKE,2014-01-01,36.4925,,23.2725
NKE,2015-01-01,49.042500000000004,,25.625
NKE,2016-01-01,50.167500000000004,,22.8125
NKE,2017-01-01,50.605,,21.197499999999998
NKE,2018-01-01,67.995,,57.0925
NKE,2019-01-01,79.155,,29.880000000000003
NKE,2020-01-01,101.97749999999999,,56.18
NKE,2021-01-01,143.165,,44.9075
NKE,2022-01-01,112.2625,,30.64
NKE,2023-01-01,105.0375,,31.427500000000002
NKE,2024-01-01,88.17,,25.4575
NKE,2025-01-01,71.01666666666667,,29.456666666666667
ICE,2010-01-01,19.335,,19.2225
ICE,2011-01-01,20.97,,16.7675
ICE,2012-01-01,22.845,,15.3975
ICE,2013-01-01,32.195,,27.060000000000002
ICE,2014-01-01,34.88,,34.9075
ICE,2015-01-01,41.792500000000004,,20.565
ICE,2016-01-01,46.5575,,19.4525
ICE,2017-01-01,59.915,,20.1225
ICE,2018-01-01,67.7925,,16.79
ICE,2019-01-01,80.435,,22.7075
ICE,2020-01-01,91.07,,24.310000000000002
ICE,2021-01-01,114.4875,,22.3
ICE,2022-01-01,100.7575,,22.6525
ICE,2023-01-01,111.3725,,32.735
