Ticker,Year,Volume
RY,2010,943605.5555555555
RY,2011,879033.3333333334
RY,2012,675620.4
RY,2013,569838.8888888889
RY,2014,508127.38095238095
RY,2015,1599826.9841269841
RY,2016,1135959.126984127
RY,2017,962457.7689243028
RY,2018,738227.4900398407
RY,2019,903702.380952381
RY,2020,1097581.0276679841
RY,2021,1161073.0158730159
RY,2022,1037449.8007968127
RY,2023,963391.2
NOW,2012,689381.746031746
NOW,2013,1551587.6984126985
NOW,2014,1755879.365079365
NOW,2015,1351759.9206349207
NOW,2016,1911683.7301587302
NOW,2017,1587258.565737052
NOW,2018,1981191.235059761
NOW,2019,2117297.222222222
NOW,2020,1839644.6640316206
NOW,2021,1313955.9523809524
NOW,2022,1727025.8964143426
NOW,2023,1378449.6
VZ,2010,19895947.825396825
VZ,2011,16713845.238095239
VZ,2012,13996484.0
VZ,2013,12845461.904761905
VZ,2014,22020353.57142857
VZ,2015,15139833.73015873
VZ,2016,14529348.412698412
VZ,2017,15555252.19123506
VZ,2018,16435064.541832669
VZ,2019,12818944.841269841
VZ,2020,16595267.588932807
VZ,2021,18362441.26984127
VZ,2022,23248733.864541832
VZ,2023,21913626.8
BKNG,2010,1236776.1904761905
BKNG,2011,1192530.9523809524
BKNG,2012,991714.0
BKNG,2013,634333.7301587302
BKNG,2014,831504.3650793651
BKNG,2015,665339.2857142857
BKNG,2016,581144.4444444445
BKNG,2017,451716.7330677291
BKNG,2018,430545.01992031874
BKNG,2019,388559.92063492065
BKNG,2020,488986.16600790515
BKNG,2021,347187.6984126984
BKNG,2022,412707.171314741
BKNG,2023,297037.2
HDB,2010,2722634.9206349207
HDB,2011,2382139.6825396824
HDB,2012,1485815.2
HDB,2013,1704942.857142857
HDB,2014,1944081.746031746
HDB,2015,1816681.746031746
HDB,2016,1401369.8412698412
HDB,2017,1395618.326693227
HDB,2018,1527745.8167330676
HDB,2019,1527965.4761904762
HDB,2020,2197897.628458498
HDB,2021,1480482.142857143
HDB,2022,1743449.0039840636
HDB,2023,1828730.8
ANET,2014,8775834.48275862
ANET,2015,11269549.206349207
ANET,2016,12370228.57142857
ANET,2017,13154792.031872509
ANET,2018,16975381.673306774
ANET,2019,14159917.46031746
ANET,2020,12307535.177865613
ANET,2021,7993430.158730159
ANET,2022,8236983.2669322705
ANET,2023,10480801.6
SCHW,2010,12128458.333333334
SCHW,2011,13549373.015873017
SCHW,2012,11449852.8
SCHW,2013,9211973.412698412
SCHW,2014,7064387.698412699
SCHW,2015,8253656.746031746
SCHW,2016,9761055.555555556
SCHW,2017,7000930.677290836
SCHW,2018,7115033.067729084
SCHW,2019,8501078.968253968
SCHW,2020,11482620.553359684
SCHW,2021,6753015.079365079
SCHW,2022,8009776.09561753
SCHW,2023,14881876.4
BLK,2010,703117.0634920635
BLK,2011,916219.4444444445
BLK,2012,854448.8
BLK,2013,717660.7142857143
BLK,2014,618817.8571428572
BLK,2015,654097.619047619
BLK,2016,689879.7619047619
BLK,2017,518503.5856573705
BLK,2018,687918.7250996016
BLK,2019,548499.6031746032
BLK,2020,887938.3399209486
BLK,2021,564833.3333333334
BLK,2022,850777.6892430279
BLK,2023,644524.8
BA,2010,5848963.492063492
BA,2011,5599934.126984127
BA,2012,4396594.0
BA,2013,5187506.349206349
BA,2014,4337713.492063492
BA,2015,3914341.6666666665
BA,2016,4386245.634920635
BA,2017,3284160.956175299
BA,2018,4458642.629482072
BA,2019,5374850.396825396
BA,2020,28413700.790513836
BA,2021,12159825.396825397
